Tanggal,Aktual,Prediksi,Kualitas Udara Aktual,Kualitas Udara Prediksi
2025-02-11,9.28962475e-05,7.926301585351093e-05,Tinggi,Tinggi
2025-02-12,0.00010642891,8.691928648122711e-05,Tinggi,Tinggi
2025-02-13,9.3814032e-05,0.00010043936923868689,Tinggi,Tinggi
2025-02-14,8.1199154e-05,9.487460636545455e-05,Tinggi,Tinggi
2025-02-15,6.8584276e-05,8.200026730659452e-05,Tinggi,Tinggi
2025-02-16,5.5969398e-05,6.573147063898269e-05,Sedang,Tinggi
2025-02-17,6.193838822222222e-05,5.2511792659689757e-05,Sedang,Sedang
2025-02-18,6.790737844444444e-05,5.8726598144548425e-05,Tinggi,Sedang
2025-02-19,7.387636866666666e-05,7.145016763959928e-05,Tinggi,Tinggi
2025-02-20,7.984535888888888e-05,7.766465043098402e-05,Tinggi,Tinggi
2025-02-21,8.58143491111111e-05,7.970442668829892e-05,Tinggi,Tinggi
2025-02-22,9.178333933333334e-05,8.688856915943834e-05,Tinggi,Tinggi
2025-02-23,9.775232955555556e-05,9.267796113001221e-05,Tinggi,Tinggi
2025-02-24,0.00010372131977777778,9.785136365939395e-05,Tinggi,Tinggi
2025-02-25,0.00010969031,0.00010057141763161616,Tinggi,Tinggi
2025-02-26,8.639338275e-05,0.00010406726258313131,Tinggi,Tinggi
2025-02-27,6.30964555e-05,8.952692407767676e-05,Sedang,Tinggi
2025-02-28,3.979952824999999e-05,6.167762629103897e-05,Sedang,Sedang
2025-03-01,1.6502601000000003e-05,4.506404791428571e-05,Sangat Rendah,Sedang
2025-03-02,3.5682453e-05,3.30823594e-05,Rendah,Rendah
2025-03-03,1.6468251e-05,2.7185948813411107e-05,Sangat Rendah,Rendah
2025-03-04,6.251194e-05,2.8702266334444445e-05,Sedang,Rendah
2025-03-05,1.4330668999999997e-05,4.740366249316239e-05,Sangat Rendah,Sedang
2025-03-06,2.24880735e-05,3.6271413156666674e-05,Sangat Rendah,Rendah
2025-03-07,3.0645478e-05,3.070177440785555e-05,Rendah,Rendah
2025-03-08,3.8802882499999996e-05,3.301993931848889e-05,Rendah,Rendah
2025-03-09,4.6960287e-05,3.5659405605555556e-05,Sedang,Rendah
2025-03-10,5.5117691499999996e-05,4.355506044836182e-05,Sedang,Sedang
2025-03-11,6.3275096e-05,5.117572379623109e-05,Sedang,Sedang
2025-03-12,6.62231344e-05,6.314012788994432e-05,Tinggi,Sedang
2025-03-13,6.91711728e-05,7.118345723874459e-05,Tinggi,Tinggi
2025-03-14,7.21192112e-05,7.151168719150817e-05,Tinggi,Tinggi
2025-03-15,7.50672496e-05,7.143729225134422e-05,Tinggi,Tinggi
2025-03-16,7.8015288e-05,7.486579647592242e-05,Tinggi,Tinggi
2025-03-17,8.09633264e-05,7.788716578393384e-05,Tinggi,Tinggi
2025-03-18,8.39113648e-05,8.26180461989766e-05,Tinggi,Tinggi
2025-03-19,8.68594032e-05,8.434012023358643e-05,Tinggi,Tinggi
2025-03-20,8.980744159999999e-05,8.893824814487513e-05,Tinggi,Tinggi
2025-03-21,9.275548e-05,9.481306530374959e-05,Tinggi,Tinggi
2025-03-22,9.198759636363636e-05,9.371901143528138e-05,Tinggi,Tinggi
2025-03-23,9.121971272727273e-05,9.565522736861472e-05,Tinggi,Tinggi
2025-03-24,9.045182909090909e-05,9.374859925972582e-05,Tinggi,Tinggi
2025-03-25,8.968394545454545e-05,9.319506050972583e-05,Tinggi,Tinggi
2025-03-26,8.891606181818181e-05,9.336198919861472e-05,Tinggi,Tinggi
2025-03-27,8.814817818181819e-05,9.208345035669553e-05,Tinggi,Tinggi
2025-03-28,8.738029454545455e-05,9.087865732336221e-05,Tinggi,Tinggi
2025-03-29,8.661241090909091e-05,8.955507584313131e-05,Tinggi,Tinggi
